constructorId,year,constructorRef,name,nationality,url
1,2010,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
2,2010,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
3,2010,hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing
4,2010,lotus_racing,Lotus,Malaysian,http://en.wikipedia.org/wiki/Lotus_Racing
5,2010,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
6,2010,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
7,2010,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
8,2010,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
9,2010,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
10,2010,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
11,2010,virgin,Virgin,British,http://en.wikipedia.org/wiki/Virgin_Racing
12,2010,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
13,2011,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
14,2011,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
15,2011,hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing
16,2011,lotus_racing,Lotus,Malaysian,http://en.wikipedia.org/wiki/Lotus_Racing
17,2011,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
18,2011,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
19,2011,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
20,2011,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
21,2011,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
22,2011,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
23,2011,virgin,Virgin,British,http://en.wikipedia.org/wiki/Virgin_Racing
24,2011,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
25,2012,caterham,Caterham,Malaysian,http://en.wikipedia.org/wiki/Caterham_F1
26,2012,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
27,2012,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
28,2012,hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing
29,2012,lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1
30,2012,marussia,Marussia,Russian,http://en.wikipedia.org/wiki/Marussia_F1
31,2012,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
32,2012,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
33,2012,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
34,2012,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
35,2012,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
36,2012,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
37,2013,caterham,Caterham,Malaysian,http://en.wikipedia.org/wiki/Caterham_F1
38,2013,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
39,2013,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
40,2013,lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1
41,2013,marussia,Marussia,Russian,http://en.wikipedia.org/wiki/Marussia_F1
42,2013,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
43,2013,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
44,2013,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
45,2013,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
46,2013,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
47,2013,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
48,2014,caterham,Caterham,Malaysian,http://en.wikipedia.org/wiki/Caterham_F1
49,2014,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
50,2014,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
51,2014,lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1
52,2014,marussia,Marussia,Russian,http://en.wikipedia.org/wiki/Marussia_F1
53,2014,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
54,2014,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
55,2014,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
56,2014,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
57,2014,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
58,2014,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
59,2015,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
60,2015,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
61,2015,lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1
62,2015,manor,Manor Marussia,British,http://en.wikipedia.org/wiki/Manor_Motorsport
63,2015,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
64,2015,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
65,2015,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
66,2015,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
67,2015,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
68,2015,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
